policy_id,event_type,event_date,channel_override
371,contact_attempt,2022-10-23,Online
218,endorsement,2021-05-09,Phone
917,contact_attempt,2023-04-20,Phone
961,endorsement,2022-12-06,In-Person
440,contact_attempt,2021-06-27,In-Person
11,claim,2023-02-23,In-Person
159,claim,2022-04-26,Online
754,claim,2023-03-02,Phone
716,contact_attempt,2022-12-03,Phone
889,endorsement,2023-05-22,In-Person
285,endorsement,2021-09-16,Online
909,claim,2022-06-05,In-Person
374,renewal_offer,2023-04-10,Phone
819,renewal_offer,2021-03-14,Online
777,claim,2022-05-30,Online
518,claim,2023-02-04,Phone
582,endorsement,2022-04-04,In-Person
550,claim,2023-02-11,In-Person
498,contact_attempt,2023-08-06,Phone
459,endorsement,2022-05-27,Online
816,renewal_offer,2021-07-29,Online
321,endorsement,2022-09-09,Online
757,contact_attempt,2022-05-08,Online
112,contact_attempt,2023-08-01,Online
404,renewal_offer,2021-07-17,Online
757,endorsement,2023-05-20,Phone
948,claim,2021-04-09,In-Person
27,renewal_offer,2022-01-01,Online
654,claim,2023-07-06,In-Person
921,renewal_offer,2022-01-22,In-Person
619,claim,2023-01-15,In-Person
787,claim,2021-06-28,Phone
74,endorsement,2022-12-10,Online
317,contact_attempt,2023-05-18,Online
653,claim,2022-03-08,In-Person
28,claim,2023-08-23,Online
206,endorsement,2021-05-05,Online
777,endorsement,2021-02-17,In-Person
439,endorsement,2023-02-18,In-Person
376,endorsement,2021-10-23,In-Person
739,endorsement,2023-01-26,Online
580,endorsement,2023-09-12,Online
7,renewal_offer,2021-08-01,Online
207,endorsement,2022-04-01,Phone
338,claim,2023-06-21,In-Person
586,endorsement,2022-04-16,Phone
786,claim,2022-03-26,Online
725,endorsement,2021-06-08,Online
874,claim,2021-09-02,Phone
456,claim,2021-01-08,Phone
15,endorsement,2021-01-27,Phone
854,claim,2023-06-26,Online
225,claim,2022-02-11,In-Person
995,endorsement,2023-09-06,Phone
306,contact_attempt,2022-07-05,Phone
883,contact_attempt,2021-11-21,Online
132,renewal_offer,2021-12-16,Phone
229,contact_attempt,2022-11-21,Phone
606,renewal_offer,2021-10-11,Phone
378,renewal_offer,2022-03-03,Online
791,endorsement,2023-07-26,Online
528,claim,2021-11-12,Online
233,renewal_offer,2023-03-10,Online
866,endorsement,2021-07-18,Phone
102,claim,2022-11-17,Phone
594,endorsement,2022-08-14,In-Person
79,renewal_offer,2022-07-17,Phone
388,endorsement,2022-08-06,Phone
481,contact_attempt,2022-07-12,Online
314,claim,2021-11-17,In-Person
401,contact_attempt,2022-07-10,Phone
230,endorsement,2022-07-28,Online
197,claim,2023-08-28,Online
377,endorsement,2021-02-14,Online
692,claim,2021-10-31,Phone
881,endorsement,2023-09-11,In-Person
480,endorsement,2022-09-01,Phone
25,claim,2021-12-25,Online
638,contact_attempt,2022-12-04,Phone
269,contact_attempt,2021-04-14,In-Person
536,endorsement,2022-08-29,In-Person
950,claim,2021-09-03,In-Person
398,renewal_offer,2023-06-09,In-Person
301,renewal_offer,2022-12-01,Phone
919,endorsement,2021-10-24,Online
696,endorsement,2021-05-14,Phone
600,renewal_offer,2021-07-15,Phone
984,claim,2023-06-06,In-Person
855,claim,2022-04-17,Online
339,claim,2023-08-02,Phone
